1.05687,0.00000
1.05480,0.100000
1.05475,0.200000
1.05651,0.300000
1.06137,0.400000
1.07093,0.500000
1.07906,0.563762
1.09178,0.650000
1.10563,0.722139
1.12290,0.800000
1.13580,0.850000
1.15875,0.930575
1.18531,0.986538
1.17298,1.09267
1.26500,1.04626
1.29552,1.05000
1.34469,1.05398
1.39781,1.05125
1.42438,1.04892
1.47750,1.03955
1.53062,1.02183
1.58006,1.00000
1.61031,0.986567
1.66344,0.955566
1.69000,0.939485
1.74312,0.900784
1.76969,0.881278
1.80575,0.850000
1.84938,0.810517
1.87594,0.784342
1.90758,0.750000
1.95123,0.700000
1.98219,0.660719
2.00875,0.624252
2.03531,0.584308
2.06188,0.540195
2.08844,0.490941
2.11500,0.435267
2.14156,0.371509
2.16745,0.300000
2.18298,0.250000
2.19604,0.200000
2.21519,0.100000
2.22102,0.00000
2.21408,-0.100000
2.19469,-0.197767
2.18091,-0.250000
2.16541,-0.300000
2.14156,-0.366955
2.11500,-0.432999
2.08844,-0.490932
2.06188,-0.542251
2.03531,-0.588197
2.00875,-0.629756
1.98219,-0.667644
1.95563,-0.702263
1.91684,-0.750000
1.87594,-0.796050
1.84938,-0.823730
1.82109,-0.850000
1.76969,-0.896356
1.74312,-0.918175
1.69767,-0.950000
1.66344,-0.974338
1.61658,-1.00000
1.58375,-1.01920
1.53062,-1.04356
1.50406,-1.05197
1.45094,-1.07383
1.39781,-1.09160
1.34469,-1.09999
1.31813,-1.10481
1.30027,-1.10883
1.26500,-1.04187
1.23844,-0.988066
1.21187,-0.923025
1.18689,-0.850000
1.17093,-0.800000
1.15797,-0.750000
1.13370,-0.650000
1.12332,-0.600000
1.10626,-0.500000
1.09806,-0.450000
1.08415,-0.350000
1.07906,-0.296129
1.06942,-0.200000
1.06172,-0.100000
1.05687,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
0.00000,0.00000
